Team,Record,ELO Rating,ELO Rank
Arizona,31-3,1934.27,1
Tennessee,26-7,1929.52,2
Villanova,26-7,1925.83,3
Gonzaga,26-3,1909.15,4
Kansas,28-6,1908.57,5
Baylor,26-6,1865.84,6
Kentucky,26-7,1863.91,7
Houston,29-5,1857.47,8
Purdue,27-7,1849.69,9
Duke,28-6,1847.9,10
Iowa,26-9,1838.23,11
UCLA,25-7,1836.32,12
Arkansas,25-8,1834.58,13
Auburn,27-5,1829.66,14
Providence,25-5,1811.41,15
Illinois,22-9,1803.93,16
Virginia Tech,23-12,1803.41,17
Wisconsin,24-7,1803.34,18
Texas Tech,25-9,1799.04,19
Boise State,26-7,1797.24,20
Connecticut,23-9,1795.43,21
North Carolina,24-9,1792.82,22
Saint Mary's College,24-7,1779.01,23
Colorado State,24-5,1777.61,24
Memphis,21-10,1773.43,25
USC,26-7,1767.73,26
Creighton,22-11,1762.03,27
San Diego State,23-8,1747.17,28
Michigan State,22-12,1738.12,29
Seton Hall,20-10,1729.98,30
Texas,21-11,1728.33,31
Texas A&M,22-12,1725.58,32
Davidson,26-6,1724.65,33
Richmond,23-12,1724.17,34
South Dakota State,28-4,1720.25,35
Michigan,17-14,1717.63,36
Murray State,27-2,1712.28,37
SMU,23-8,1707.32,38
Miami (FL),23-10,1705.63,39
Notre Dame,21-10,1704.87,40
VCU,21-9,1702.59,41
Rutgers,18-13,1701.73,42
North Texas,22-6,1701.39,43
Loyola-Chicago,24-7,1700.38,44
UAB,25-7,1699.47,45
Colorado,21-11,1693.22,46
Indiana,20-13,1692.66,47
Saint Bonaventure,20-9,1688.83,48
LSU,22-11,1687.55,49
Dayton,23-10,1687.1,50
Alabama,19-13,1683.51,51
TCU,20-12,1679.72,52
Vermont,27-5,1676.35,53
Virginia,19-13,1675.98,54
Oklahoma,18-15,1675.58,55
Ohio State,19-11,1675.29,56
Saint Louis,22-11,1672.68,57
Marquette,19-12,1671.07,58
Oklahoma State,15-15,1669.78,59
Chattanooga,25-7,1661.16,60
New Mexico State,23-6,1657.03,61
Kent State,21-10,1656.33,62
Toledo,25-7,1652.65,63
Florida,19-13,1650.38,64
San Francisco,23-9,1648.07,65
Drake,22-10,1647.01,66
Wyoming,24-8,1646.38,67
Wake Forest,23-9,1643.27,68
Akron,22-9,1638.08,69
Belmont,24-7,1634.22,70
Colgate,22-11,1627.64,71
Northern Iowa,18-11,1624.9,72
Louisiana Tech,21-10,1624.76,73
Santa Clara,21-11,1623.2,74
Saint John's,17-15,1621.62,75
Mississippi State,18-15,1619.24,76
Oregon,18-14,1618.49,77
Arizona State,14-17,1616,78
Florida State,17-14,1613.12,79
Montana State,25-7,1612.65,80
South Carolina,17-13,1612.12,81
Missouri State,22-10,1611.99,82
Iowa State,20-12,1611.9,83
BYU,20-10,1611.24,84
Towson,25-8,1609,85
Maryland,15-17,1606.1,86
Washington State,19-14,1605.43,87
Syracuse,16-17,1601.78,88
Texas State,18-7,1596.82,89
Princeton,21-6,1596.43,90
Vanderbilt,17-16,1595.49,91
Georgia State,15-10,1595.26,92
Clemson,17-16,1594.48,93
Washington,17-15,1594.2,94
Grand Canyon,21-8,1587.9,95
Stephen F. Austin,18-9,1586.18,96
Penn State,14-17,1585.44,97
Iona,25-7,1585.37,98
Xavier,18-13,1584.15,99
Longwood,22-6,1583.23,100
Yale,18-11,1579.03,101
Abilene Christian,19-10,1566.79,102
West Virginia,16-17,1565.79,103
Temple,17-12,1563.23,104
UNCW,21-9,1561.98,105
Furman,21-12,1561.72,106
Winthrop,20-9,1561.42,107
Bryant,21-9,1560.8,108
Hofstra,19-11,1559.84,109
Tulane,14-15,1555.06,110
DePaul,15-16,1554.13,111
UNLV,17-14,1553.4,112
UCF,18-12,1552.75,113
Northwestern,14-16,1550.38,114
Butler,12-19,1548.02,115
Delaware,21-12,1546.77,116
Saint Peter's,18-11,1544.61,117
Stanford,16-16,1542.22,118
Western Kentucky,17-13,1541.33,119
Utah State,17-15,1539.78,120
Ohio,23-9,1538.07,121
Wright State,20-13,1535.08,122
Buffalo,17-11,1533.14,123
Middle Tennessee,21-10,1532.7,124
North Dakota State,21-10,1530.67,125
Wichita State,15-13,1529.93,126
Kansas State,14-17,1529.33,127
Northern Kentucky,18-12,1521.88,128
UTEP,17-13,1517.32,129
Samford,18-11,1514.5,130
Wofford,17-13,1511.15,131
Morehead State,20-11,1510.46,132
Cal State Fullerton,19-10,1508.73,133
Bradley,16-14,1508.45,134
Long Beach State,18-12,1507.21,135
Cincinnati,17-15,1502.42,136
Norfolk State,21-6,1500.54,137
UMass,15-17,1499.35,138
Fresno State,18-13,1498.14,139
UC Santa Barbara,15-11,1496.74,140
Seattle University,21-9,1493.23,141
Jacksonville State,19-10,1492.86,142
Wagner,20-6,1489.84,143
Liberty,19-11,1489.12,144
Missouri,11-21,1488.27,145
Bellarmine,16-13,1487.3,146
Sam Houston State,16-14,1486.26,147
Navy,20-11,1486.19,148
Texas Southern,18-12,1485.44,149
Purdue Fort Wayne,19-11,1483.48,150
Louisville,13-19,1481.82,151
Appalachian State,16-14,1479.19,152
Boston College,13-20,1473.67,153
Nevada,12-18,1472.2,154
Minnesota,13-17,1464.5,155
FAU,16-14,1463.18,156
Fordham,16-16,1462.98,157
Southern Illinois,15-15,1461.92,158
Southern Utah,18-11,1461.58,159
Northern Colorado,18-14,1460.41,160
UC Irvine,13-10,1460.35,161
Jacksonville,17-10,1459.15,162
Louisiana,14-15,1459.04,163
Georgia Tech,11-20,1458.88,164
Nebraska,10-22,1457.09,165
UMBC,17-14,1456.41,166
Utah Valley,18-12,1454.03,167
Troy,17-11,1453.52,168
George Mason,14-16,1453.5,169
Monmouth,21-13,1452.17,170
UNCG,16-14,1449.33,171
South Dakota,17-12,1449.09,172
Ole Miss,13-19,1448.67,173
Portland,16-14,1446.1,174
Drexel,14-14,1445.22,175
Pittsburgh,11-21,1444.32,176
Charleston,17-15,1442.02,177
FGCU,19-11,1439.09,178
Oral Roberts,16-12,1437.48,179
Arkansas State,15-11,1437.41,180
California,12-20,1436.94,181
Boston University,20-12,1434.9,182
South Alabama,15-11,1432.29,183
Cleveland State,18-10,1427.13,184
East Carolina,15-15,1427.03,185
Eastern Washington,16-15,1426.72,186
Hawaii,15-11,1426.41,187
Tulsa,11-20,1425.98,188
Utah,11-20,1425.49,189
Charlotte,17-14,1423.75,190
Coastal Carolina,12-13,1421.73,191
North Carolina State,11-21,1421.28,192
Penn,12-16,1420.35,193
Old Dominion,12-19,1419.44,194
UMKC,15-12,1417.24,195
Oakland,18-12,1417.24,196
Weber State,19-12,1414.53,197
Detroit,13-15,1413.71,198
Nicholls,17-11,1411.69,199
Siena,15-14,1408.37,200
Alcorn State,17-16,1405.72,201
UC Riverside,14-12,1403.08,202
Long Island,15-14,1402.44,203
Gardner-Webb,15-13,1402.37,204
Rhode Island,14-16,1397.82,205
La Salle,11-19,1394.71,206
George Washington,12-18,1393.01,207
VMI,13-15,1389.59,208
Mercer,14-17,1388.38,209
Ball State,13-17,1381.92,210
Rider,13-19,1380.6,211
Cornell,13-11,1380.44,212
San Diego,13-16,1380.25,213
East Tennessee State,13-17,1375.89,214
Portland State,12-17,1375.55,215
Niagara,13-16,1374.31,216
UC Davis,12-10,1373.88,217
Texas A&M-Corpus Christi,19-11,1372.93,218
James Madison,13-14,1371.88,219
Harvard,10-13,1371.38,220
Stony Brook,17-13,1370.06,221
Rice,14-16,1367.72,222
Valparaiso,12-18,1364.98,223
Loyola-Marymount,10-18,1363.82,224
Elon,8-22,1361.55,225
New Mexico,11-19,1360.98,226
The Citadel,10-18,1355.28,227
New Hampshire,13-13,1355.06,228
California Baptist,15-15,1354.42,229
Southeastern Louisiana,15-14,1353.26,230
Marist,14-16,1352.28,231
Brown,11-16,1350.85,232
Miami (OH),11-18,1348.64,233
Fairfield,14-18,1344.35,234
Dartmouth,8-16,1344.13,235
Saint Joseph's,11-19,1342.32,236
Georgia Southern,10-16,1342.29,237
Montana,15-14,1340.95,238
Youngstown State,16-14,1340.27,239
Georgetown,6-25,1338.77,240
Marshall,10-21,1335.17,241
UIC,13-16,1332.3,242
Hartford,12-20,1331.9,243
Merrimack,13-16,1331.81,244
Campbell,13-13,1326.48,245
Tarleton State,11-17,1324.98,246
South Carolina Upstate,12-16,1323.45,247
Lehigh,12-19,1322.62,248
Manhattan,14-15,1321.72,249
Illinois State,11-20,1318.16,250
North Florida,8-20,1316.87,251
Canisius,10-21,1314.85,252
South Florida,8-23,1312.28,253
Mount Saint Mary's,13-16,1310.28,254
Bowling Green,11-18,1308.28,255
Quinnipiac,13-17,1308.08,256
UTA,9-18,1303.69,257
Georgia,6-26,1301.54,258
New Orleans,15-13,1300.73,259
UMass-Lowell,12-16,1298.8,260
Lipscomb,11-19,1294.73,261
UNC Asheville,13-14,1294.31,262
Albany,13-18,1293.5,263
Southeast Missouri,12-18,1292.22,264
Jackson State,11-19,1290.96,265
Air Force,11-18,1290.17,266
Dixie State,9-18,1289.6,267
Western Carolina,10-21,1289.52,268
Army,13-16,1289.52,269
High Point,11-18,1288.95,270
Sacramento State,9-18,1288.58,271
Southern,15-14,1286.96,272
Morgan State,9-14,1286.49,273
Howard,13-13,1285.14,274
Indiana State,8-20,1284.61,275
Northeastern,9-22,1284.17,276
Northern Illinois,9-21,1281.28,277
UC San Diego,11-16,1273.41,278
Binghamton,10-17,1273.19,279
Radford,9-18,1272.72,280
Western Illinois,14-15,1272.28,281
Oregon State,3-28,1270.15,282
FIU,13-17,1268.06,283
Loyola-Maryland,13-16,1264.89,284
Bucknell,9-23,1263.14,285
North Carolina Central,12-15,1261.51,286
Alabama A&M,12-18,1261.51,287
Austin Peay,10-17,1260.03,288
Prairie View A&M,8-19,1259.11,289
Little Rock,6-19,1258.38,290
Kennesaw State,9-18,1255.19,291
ULM,10-18,1254.68,292
Tennessee State,12-18,1254.65,293
Eastern Kentucky,9-18,1254.26,294
Central Arkansas,9-20,1252.39,295
Florida A&M,11-17,1252.12,296
Lafayette,9-20,1251.48,297
American,10-22,1245.05,298
Pacific,6-22,1244.75,299
Tennessee Tech,9-21,1244.4,300
Pepperdine,6-25,1241.78,301
UTSA,7-21,1240.56,302
Duquesne,6-24,1238.49,303
North Carolina A&T,9-20,1234.04,304
Eastern Michigan,9-21,1232.16,305
Western Michigan,6-22,1231.61,306
Central Michigan,7-23,1226.54,307
Coppin State,9-23,1224.65,308
Denver,10-20,1221.87,309
Saint Francis (NY),9-20,1216.42,310
South Carolina State,12-16,1215.87,311
Grambling State,10-20,1208.51,312
Milwaukee,9-22,1208.28,313
San Jose State,7-23,1207.21,314
Stetson,7-19,1203.46,315
NJIT,10-18,1200.67,316
Holy Cross,7-22,1198.03,317
Sacred Heart,9-20,1195.92,318
Hampton,7-19,1193.89,319
Maryland Eastern Shore,8-15,1190.98,320
Idaho,7-22,1190.97,321
Cal State Bakersfield,6-19,1190.43,322
Alabama State,9-21,1189.04,323
Robert Morris,7-24,1187.66,324
Evansville,5-24,1185.27,325
Bethune-Cookman,8-21,1184.33,326
SIUE,9-21,1176.54,327
Cal Poly,6-21,1171.89,328
Idaho State,5-23,1166.99,329
Houston Baptist,7-18,1163.12,330
William & Mary,4-27,1159.95,331
Presbyterian College,9-20,1158.87,332
UTRGV,6-23,1154.95,333
Saint Francis (PA),8-21,1151.22,334
Chicago State,7-25,1149.91,335
Cal State Northridge,6-22,1145.22,336
Central Connecticut,8-24,1142.2,337
Southern Miss,5-26,1136.8,338
Saint Thomas,7-20,1136.75,339
Northwestern State,6-23,1132.44,340
Northern Arizona,7-23,1129.96,341
North Alabama,5-21,1126.64,342
Fairleigh Dickinson,4-22,1116.97,343
Maine,3-23,1114.8,344
Green Bay,4-25,1109.96,345
McNeese,7-22,1107.83,346
Omaha,4-25,1101.99,347
Tennessee-Martin,6-22,1089,348
Arkansas-Pine Bluff,5-24,1085.62,349
Columbia,3-22,1082.29,350
Incarnate Word,5-24,1077.14,351
North Dakota,4-25,1073.87,352
Eastern Illinois,3-26,1049.31,353
Charleston Southern,3-25,1043.02,354
Lamar,0-27,1018.27,355
IUPUI,1-26,1014.51,356
Mississippi Valley State,2-26,990.71,357
Delaware State,0-25,939.71,358